train_acc,val_acc
76.3322433678565,82.67795024106435
82.86793175630379,84.9767072848221
84.71904885690441,85.77618650446529
85.65350043096961,86.08946843786237
86.39298956095826,86.15660028073316
87.02918279952388,86.36206440588319
87.40884650640982,86.48005370547429
87.92737819977836,86.51056817950648
88.21195496025503,86.72010090119413
88.45753923191637,86.87470756962387
88.72432994486326,86.63669467217284
89.03216538287887,86.73637528734463
89.18403086563325,86.70992940985008
89.41388132601826,86.75875256830156
89.5609582575146,86.85436458693573
89.60473929758794,86.57770002237729
89.79286095415304,86.91132493846247
89.82569673420804,86.90115344711842
90.00902983951512,86.85233028866692
90.0370770683121,86.99676546575259
