train_acc,val_acc
74.10761926913027,81.78082470451818
81.5353463490717,84.03075858982444
83.63615219384056,84.62477368431759
84.76488213323118,85.15572553247758
85.44690864812357,85.25947474418699
86.19460672312597,85.51783062432614
86.53048938993857,85.6439571169925
86.95256597939554,85.63175132737962
87.1338468484492,85.7293976442826
87.60586118673982,85.78228939927172
87.71257747191856,85.81687246984153
88.02451738244106,85.74363773216429
88.17022615643513,85.88400431271234
88.4144422705942,85.8270439611856
88.4130741130919,85.78228939927172
88.64634496723262,85.81687246984153
88.78452887496408,85.64802571353012
88.92271278269554,85.68057448583112
89.15529955808513,85.56055088797119
89.257911370757,85.69074597717517
