train_acc,val_acc
71.53479908607079,81.38820513863743
81.36432666128525,84.3257318388022
83.80785596037816,85.31846939398254
85.03714547618722,85.68260878409993
85.92097522266764,85.98775352442175
86.53869833495231,86.1118457188193
86.96966794817419,86.24204080802328
87.39174453763117,86.33561852838864
87.79535100080722,86.35596151107676
87.95132095606846,86.32544703704457
88.15517642390992,86.32544703704457
88.30430559165971,86.41088756433469
88.63539970721429,86.4312305470228
88.85909345883898,86.44140203836686
88.81804873377023,86.42309335394755
89.16214034559658,86.48615660028074
89.27159294577991,86.46174502105498
89.50007524866263,86.51870537258173
89.5370155012245,86.32951563358219
89.48707775239086,86.44953923144212
